code,name,price,cost_price,stock,low_stock_threshold,category
F001,Grilled Sandwich,120,60,19,10,Food
F003,Vegetable Pizza,200,100,5,10,Food
F004,Pasta Alfredo,180,90,0,10,Food
F005,French Fries,80,40,77,10,Food
D001,Cold Coffee,100,50,0,10,Drinks
D002,Mango Smoothie,120,60,120,10,Drinks
D003,Cola,50,25,74,10,Drinks
D004,Green Tea,60,30,54,10,Drinks
D005,Orange Juice,90,45,0,10,Drinks
DS001,Chocolate Cake,150,75,0,10,Desserts
DS002,Vanilla Ice Cream,80,40,17,10,Desserts
DS003,Brownies,100,50,0,10,Desserts
DS004,Fruit Salad,90,45,2,10,Desserts
DS005,Custard Pudding,110,55,0,10,Desserts
S001,RASGULLA,50,70,0,9,SWEET
S002,MAVA MALAI,100,70,0,9,SWEET
S003,GULAB JAMUN,101,50,4,5,SWEET
S004,MISHTI DAHI,102,50,5,5,SWEET
S005,JALEBI,103,50,5,5,SWEET
S006,GHEVAR,104,50,5,5,SWEET
S007,GHARI,500,490,97,10,SWEET
S008,LADOO,400,300,94,10,SWEET
S009,KAJU KATRI,1000,990,96,10,SWEET
J002,JAIN PASTA,200,180,87,10,JAIN 
J003,JAIN PIZZA,200,180,90,10,JAIN 
J001,JAIN SANDWICH,200,180,82,10,JAIN 
